stock_id,date,資料日期,股票代號,股票名稱,除權息前收盤價,除權息參考價,權值+息值,權/息,漲停價格,跌停價格,開盤競價基準,減除股利參考價,詳細資料,最近一次申報資料 季別/日期,最近一次申報每股 (單位)淨值,最近一次申報每股 (單位)盈餘,twse_divide_ratio
0051 元大中型100,2016-11-23,105年11月23日,0051,元大中型100,26.0,25.3,0.7,息,27.83,22.77,25.3,25.3,除權息資料,109年07月31日,39.67,,1.0276679841897234
0051 元大中型100,2017-11-23,106年11月23日,0051,元大中型100,32.4,31.55,0.85,息,34.7,28.4,31.55,31.55,除權息資料,109年07月31日,39.67,,1.0269413629160062
0051 元大中型100,2018-11-22,107年11月22日,0051,元大中型100,29.65,28.65,1.0,息,31.51,25.79,28.65,28.65,除權息資料,109年07月31日,39.67,,1.0349040139616057
0051 元大中型100,2019-11-22,108年11月22日,0051,元大中型100,35.36,34.16,1.2,息,37.57,30.75,34.16,34.16,除權息資料,109年07月31日,39.67,,1.035128805620609
0052 富邦科技,2009-04-28,98年04月28日,0052,富邦科技,29.56,28.09,1.461,息,30.05,26.13,28.09,28.09,除權息資料,109年07月31日,89.28,,1.0523317906728373
0052 富邦科技,2010-05-03,99年05月03日,0052,富邦科技,35.14,33.74,1.4,息,36.1,31.38,33.74,33.74,除權息資料,109年07月31日,89.28,,1.0414937759336098
0052 富邦科技,2012-05-07,101年05月07日,0052,富邦科技,33.9,31.52,2.374,息,33.72,29.32,31.52,31.52,除權息資料,109年07月31日,89.28,,1.0755076142131978
0052 富邦科技,2014-05-06,103年05月06日,0052,富邦科技,39.2,36.73,2.462,息,39.3,34.16,36.73,36.73,除權息資料,109年07月31日,89.28,,1.067247481622652
0052 富邦科技,2016-05-04,105年05月04日,0052,富邦科技,37.81,35.37,2.439,息,38.9,31.84,35.37,35.37,除權息資料,109年07月31日,89.28,,1.0689850155499012
0052 富邦科技,2017-05-03,106年05月03日,0052,富邦科技,46.22,44.81,1.41,息,49.29,40.33,44.81,44.81,除權息資料,109年07月31日,89.28,,1.0314661905824591
0052 富邦科技,2018-05-03,107年05月03日,0052,富邦科技,53.5,51.78,1.72,息,56.95,46.61,51.8,51.78,除權息資料,109年07月31日,89.28,,1.0328185328185329
0052 富邦科技,2019-05-02,108年05月02日,0052,富邦科技,56.4,55.35,1.047,息,60.85,49.82,55.35,55.35,除權息資料,109年07月31日,89.28,,1.018970189701897
0052 富邦科技,2020-04-22,109年04月22日,0052,富邦科技,65.0,63.07,1.927,息,69.35,56.8,63.05,63.07,除權息資料,109年07月31日,89.28,,1.0309278350515465
0053 元大電子,2010-11-23,99年11月23日,0053,元大電子,27.08,26.08,1.0,息,27.9,24.26,26.08,26.08,除權息資料,109年07月31日,49.75,,1.0383435582822087
0053 元大電子,2011-11-23,100年11月23日,0053,元大電子,21.71,20.71,1.0,息,22.15,19.27,20.71,20.71,除權息資料,109年07月31日,49.75,,1.048285852245292
0053 元大電子,2012-11-22,101年11月22日,0053,元大電子,21.77,21.22,0.55,息,22.7,19.74,21.22,21.22,除權息資料,109年07月31日,49.75,,1.0259189443920829
0053 元大電子,2013-11-25,102年11月25日,0053,元大電子,23.6,22.85,0.75,息,24.44,21.26,22.85,22.85,除權息資料,109年07月31日,49.75,,1.0328227571115973
0053 元大電子,2014-11-25,103年11月25日,0053,元大電子,29.35,28.45,0.9,息,30.44,26.46,28.45,28.45,除權息資料,109年07月31日,49.75,,1.031634446397188
0053 元大電子,2015-11-24,104年11月24日,0053,元大電子,27.26,26.36,0.9,息,28.99,23.73,26.36,26.36,除權息資料,109年07月31日,49.75,,1.0341426403641882
0053 元大電子,2016-11-23,105年11月23日,0053,元大電子,30.54,29.54,1.0,息,32.49,26.59,29.54,29.54,除權息資料,109年07月31日,49.75,,1.03385240352065
0053 元大電子,2017-11-23,106年11月23日,0053,元大電子,38.5,37.35,1.15,息,41.08,33.62,37.35,37.35,除權息資料,109年07月31日,49.75,,1.0307898259705488
0053 元大電子,2018-11-22,107年11月22日,0053,元大電子,31.48,30.38,1.1,息,33.41,27.35,30.38,30.38,除權息資料,109年07月31日,49.75,,1.0362080315997366
0053 元大電子,2019-11-22,108年11月22日,0053,元大電子,41.3,39.8,1.5,息,43.78,35.82,39.8,39.8,除權息資料,109年07月31日,49.75,,1.0376884422110553
0054 元大台商50,2007-11-23,96年11月23日,0054,元大台商50,24.3,23.95,0.35,息,25.62,22.28,23.95,23.95,除權息資料,109年07月31日,25.7,,1.0146137787056368
0054 元大台商50,2010-11-23,99年11月23日,0054,元大台商50,22.97,22.27,0.7,息,23.82,20.72,22.27,22.27,除權息資料,109年07月31日,25.7,,1.0314324202963627
0054 元大台商50,2011-11-23,100年11月23日,0054,元大台商50,18.9,17.9,1.0,息,19.15,16.65,17.9,17.9,除權息資料,109年07月31日,25.7,,1.0558659217877095
0054 元大台商50,2012-11-22,101年11月22日,0054,元大台商50,18.75,18.1,0.65,息,19.36,16.84,18.1,18.1,除權息資料,109年07月31日,25.7,,1.0359116022099446
0054 元大台商50,2013-11-25,102年11月25日,0054,元大台商50,20.82,20.32,0.5,息,21.74,18.9,20.32,20.32,除權息資料,109年07月31日,25.7,,1.0246062992125984
0054 元大台商50,2014-11-25,103年11月25日,0054,元大台商50,23.0,22.4,0.6,息,23.96,20.84,22.4,22.4,除權息資料,109年07月31日,25.7,,1.0267857142857144
0054 元大台商50,2015-11-24,104年11月24日,0054,元大台商50,21.69,20.99,0.7,息,23.08,18.9,20.99,20.99,除權息資料,109年07月31日,25.7,,1.0333492139113865
0054 元大台商50,2016-11-23,105年11月23日,0054,元大台商50,21.69,20.99,0.7,息,23.08,18.9,20.99,20.99,除權息資料,109年07月31日,25.7,,1.0333492139113865
0054 元大台商50,2017-11-23,106年11月23日,0054,元大台商50,25.0,24.25,0.75,息,26.67,21.83,24.25,24.25,除權息資料,109年07月31日,25.7,,1.0309278350515463
0054 元大台商50,2018-11-22,107年11月22日,0054,元大台商50,20.53,19.78,0.75,息,21.75,17.81,19.78,19.78,除權息資料,109年07月31日,25.7,,1.037917087967644
0054 元大台商50,2019-11-22,108年11月22日,0054,元大台商50,24.58,23.83,0.75,息,26.21,21.45,23.83,23.83,除權息資料,109年07月31日,25.7,,1.0314729332773815
0055 元大MSCI金融,2010-11-23,99年11月23日,0055,元大MSCI金融,12.64,12.24,0.4,息,13.09,11.39,12.24,12.24,除權息資料,109年07月31日,18.0,,1.0326797385620916
0055 元大MSCI金融,2011-11-23,100年11月23日,0055,元大MSCI金融,10.76,10.46,0.3,息,11.19,9.73,10.46,10.46,除權息資料,109年07月31日,18.0,,1.02868068833652
0055 元大MSCI金融,2012-11-22,101年11月22日,0055,元大MSCI金融,10.49,10.24,0.25,息,10.95,9.53,10.24,10.24,除權息資料,109年07月31日,18.0,,1.0244140625
0055 元大MSCI金融,2013-11-25,102年11月25日,0055,元大MSCI金融,13.9,13.55,0.35,息,14.49,12.61,13.55,13.55,除權息資料,109年07月31日,18.0,,1.025830258302583
0055 元大MSCI金融,2014-11-25,103年11月25日,0055,元大MSCI金融,15.3,14.9,0.4,息,15.94,13.86,14.9,14.9,除權息資料,109年07月31日,18.0,,1.0268456375838926
0055 元大MSCI金融,2015-11-24,104年11月24日,0055,元大MSCI金融,14.25,13.8,0.45,息,15.18,12.42,13.8,13.8,除權息資料,109年07月31日,18.0,,1.0326086956521738
0055 元大MSCI金融,2016-11-23,105年11月23日,0055,元大MSCI金融,14.4,13.95,0.45,息,15.34,12.56,13.95,13.95,除權息資料,109年07月31日,18.0,,1.032258064516129
0055 元大MSCI金融,2017-11-23,106年11月23日,0055,元大MSCI金融,16.76,16.26,0.5,息,17.88,14.64,16.26,16.26,除權息資料,109年07月31日,18.0,,1.030750307503075
0055 元大MSCI金融,2018-06-23,107年06月23日,0055,元大MSCI金融,16.76,16.26,0.5,息,17.88,14.64,16.26,16.26,除權息資料,108年08月08日,18.02,,1.030750307503075
0055 元大MSCI金融,2018-11-22,107年11月22日,0055,元大MSCI金融,17.94,17.29,0.65,息,19.01,15.57,17.29,17.29,除權息資料,109年07月31日,18.0,,1.037593984962406
0055 元大MSCI金融,2019-11-22,108年11月22日,0055,元大MSCI金融,19.5,18.8,0.7,息,20.68,16.92,18.8,18.8,除權息資料,109年07月31日,18.0,,1.0372340425531914
0056 元大高股息,2009-10-23,98年10月23日,0056,元大高股息,23.63,21.63,2.0,息,23.14,20.12,21.63,21.63,除權息資料,109年07月31日,30.26,,1.0924641701340732
0056 元大高股息,2011-10-26,100年10月26日,0056,元大高股息,25.21,23.01,2.2,息,24.62,21.4,23.01,23.01,除權息資料,109年07月31日,30.26,,1.0956106040851803
0056 元大高股息,2012-10-24,101年10月24日,0056,元大高股息,24.4,23.1,1.3,息,24.71,21.49,23.1,23.1,除權息資料,109年07月31日,30.26,,1.0562770562770563
0056 元大高股息,2013-10-24,102年10月24日,0056,元大高股息,24.18,23.33,0.85,息,24.96,21.7,23.33,23.33,除權息資料,109年07月31日,30.26,,1.0364337762537505
0056 元大高股息,2014-05-05,103年05月05日,0056,元大高股息,23.63,21.63,2.0,息,23.14,20.12,21.63,21.63,除權息資料,108年01月16日,28.04,,1.0924641701340732
