,0
220,01010T 京城樂富R1
221,020000 富邦特選蘋果N
222,020001 富邦存股雙十N
223,020002 元富新中國N
224,020003 統一漲升股利150N
225,020004 兆豐電菁英30N
226,020005 永豐外資50N
227,020006 永昌中小300N
228,020007 凱基臺灣500N
229,020008 元大特股高息N
230,020009 群益A50綠碳N
231,020009 群益中國A50N
232,1101 台泥
233,1101B 台泥乙特
234,1102 亞泥
235,1103 嘉泥
236,1104 環泥
237,1107 建台
238,1108 幸福
239,1109 信大
240,1110 東泥
241,1201 味全
242,1203 味王
243,1210 大成
244,1213 大飲
245,1215 卜蜂
246,1216 統一
247,1217 愛之味
248,1218 泰山
249,1219 福壽
250,1220 台榮
251,1225 福懋油
252,1227 佳格
253,1229 聯華
254,1231 聯華食
255,1232 大統益
256,1233 天仁
257,1234 黑松
258,1235 興泰
259,1236 宏亞
260,1240 茂生農經
261,1256 F-鮮活
262,1256 鮮活果汁-KY
263,1258 F-其祥
264,1258 KY其祥
265,1258 其祥-KY
266,1259 安心
267,1262 綠悅-KY
268,1264 德麥
269,1268 漢來美食
270,1301 台塑
271,1303 南亞
272,1304 台聚
273,1305 華夏
274,1307 三芳
275,1308 亞聚
276,1309 台達化
277,1310 台苯
278,1311 福聚
279,1312 國喬
280,1312A 國喬特
281,1313 聯成
282,1314 中石化
283,1315 達新
284,1316 上曜
285,1319 東陽
286,1321 大洋
287,1323 永裕
288,1324 地球
289,1325 恆大
290,1326 台化
291,1333 恩得利
292,1336 台翰
293,1337 再生-KY
294,1338 廣華-KY
295,1339 昭輝
296,1340 勝悅-KY
297,1341 富林-KY
298,1402 遠東新
299,1408 中紡
300,1409 新纖
301,1410 南染
302,1413 宏洲
303,1414 東和
304,1416 廣豐
305,1417 嘉裕
306,1418 東華
307,1419 新紡
308,1423 利華
309,1432 大魯閣
310,1434 福懋
311,1435 中福
312,1436 華友聯
313,1437 勤益控
314,1438 裕豐
315,1439 中和
316,1440 南紡
317,1441 大東
318,1442 名軒
319,1443 立益
320,1444 力麗
321,1445 大宇
322,1446 宏和
323,1447 力鵬
324,1449 佳和
325,1451 年興
326,1452 宏益
327,1453 大將
328,1454 台富
329,1455 集盛
330,1456 怡華
331,1457 宜進
332,1459 聯發
333,1460 宏遠
334,1462 東雲
335,1463 強盛
336,1464 得力
337,1465 偉全
338,1466 聚隆
339,1467 南緯
340,1468 昶和
341,1469 理隆
342,1470 大統新創
343,1471 首利
344,1472 三洋紡
345,1473 台南
346,1474 弘裕
347,1475 本盟
348,1476 儒鴻
349,1477 聚陽
350,1503 士電
351,1504 東元
352,1506 正道
353,1507 永大
354,1512 瑞利
355,1513 中興電
356,1514 亞力
357,1515 力山
358,1516 川飛
359,1517 利奇
360,1519 華城
361,1520 復盛
362,1521 大億
363,1522 堤維西
364,1523 開億
365,1524 耿鼎
366,1525 江申
367,1526 日馳
368,1527 鑽全
369,1528 恩德
370,1529 樂士
371,1530 亞崴
372,1531 高林股
373,1532 勤美
374,1533 車王電
375,1535 中宇
376,1536 和大
377,1537 廣隆
378,1538 正峰新
379,1539 巨庭
380,1540 喬福
381,1541 錩泰
382,1558 伸興
383,1560 中砂
384,1565 精華
385,1566 捷邦
386,1566 毅金
387,1568 倉佑
388,1569 濱川
389,1570 力肯
390,1580 新麥
391,1582 信錦
392,1583 程泰
393,1584 精剛
394,1586 和勤
395,1587 吉茂
396,1589 永冠-KY
397,1590 亞德客-KY
398,1591 F-駿吉
399,1591 駿吉-KY
400,1592 英瑞-KY
401,1593 祺驊
402,1595 川寶
403,1597 直得
404,1598 岱宇
405,1599 宏佳騰
406,1601 台光
407,1603 華電
408,1604 聲寶
409,1605 華新
410,1606 歌林
411,1608 華榮
412,1609 大亞
413,1611 中電
414,1612 宏泰
415,1613 台一
416,1614 三洋電
417,1615 大山
418,1616 億泰
419,1617 榮星
420,1618 合機
421,1626 艾美特-KY
422,1701 中化
423,1702 南僑
424,1704 榮化
425,1707 葡萄王
426,1708 東鹼
427,1709 和益
428,1710 東聯
429,1711 永光
430,1712 興農
431,1713 國化
432,1714 和桐
433,1715 萬洲
434,1716 永信
435,1717 長興
436,1718 中纖
437,1720 生達
438,1721 三晃
439,1722 台肥
440,1723 中碳
441,1724 台硝
442,1725 元禎
443,1726 永記
444,1727 中華化
445,1729 必翔
446,1730 花仙子
447,1731 美吾華
448,1732 毛寶
449,1733 五鼎
450,1734 杏輝
451,1735 日勝化
452,1736 喬山
453,1737 臺鹽
454,1742 台蠟
455,1752 南光
456,1760 寶齡富錦
457,1762 中化生
458,1773 勝一
459,1776 展宇
460,1777 生泰
461,1781 合世
462,1783 和康生
463,1784 訊聯
464,1785 光洋科
465,1786 科妍
466,1787 福盈科
467,1788 杏昌
468,1789 神隆
469,1795 美時
470,1796 金穎生技
471,1799 易威
472,1799 紅電醫
473,1802 台玻
474,1805 寶徠
475,1806 冠軍
476,1807 羅馬
477,1808 潤隆
478,1809 中釉
479,1810 和成
480,1813 寶利徠
481,1815 富喬
482,1817 凱撒衛
483,1902 台紙
484,1903 士紙
485,1904 正隆
486,1905 華紙
487,1906 寶隆
488,1907 永豐餘
489,1909 榮成
490,2002 中鋼
491,2002A 中鋼特
492,2006 東和鋼鐵
493,2007 燁興
494,2008 高興昌
495,2009 第一銅
496,2010 春源
497,2012 春雨
498,2013 中鋼構
499,2014 中鴻
500,2015 豐興
501,2017 官田鋼
502,2020 美亞
503,2022 聚亨
504,2023 燁輝
505,2024 志聯
506,2025 千興
507,2027 大成鋼
508,2028 威致
509,2029 盛餘
510,2030 彰源
511,2031 新光鋼
512,2032 新鋼
513,2033 佳大
514,2034 允強
515,2035 唐榮
516,2038 海光
517,2049 上銀
518,2059 川湖
519,2061 風青
520,2062 橋椿
521,2063 世鎧
522,2064 晉椿
523,2065 世豐
524,2066 世德
525,2067 嘉鋼
526,2069 運錩
527,2070 精湛
528,2101 南港
529,2102 泰豐
530,2103 台橡
531,2104 國際中橡
532,2105 正新
533,2106 建大
534,2107 厚生
535,2108 南帝
536,2109 華豐
537,2114 鑫永銓
538,2115 六暉-KY
539,2201 裕隆
540,2204 中華
541,2206 三陽工業
542,2207 和泰車
543,2208 台船
544,2221 大甲
545,2227 裕日車
546,2228 劍麟
547,2230 泰茂
548,2231 為升
549,2233 宇隆
550,2235 謚源
551,2236 百達-KY
552,2239 英利-KY
553,2243 宏旭-KY
554,2301 光寶科
555,2302 麗正
556,2303 聯電
557,2305 全友
558,23051 全友一
559,2308 台達電
560,2311 日月光
561,2312 金寶
562,2313 華通
563,2314 台揚
564,2315 神達
565,2316 楠梓電
566,2317 鴻海
567,2321 東訊
568,2323 中環
569,2324 仁寶
570,2325 矽品
571,2326 亞瑟
572,2327 國巨
573,2328 廣宇
574,2329 華泰
575,2330 台積電
576,2331 精英
577,2332 友訊
578,2336 致伸
579,2337 旺宏
580,2338 光罩
581,2340 光磊
582,2341 英群
583,2342 茂矽
584,2344 華邦電
585,23442 華邦二
586,2345 智邦
587,2347 聯強
588,2348 海悅
589,2349 錸德
590,2350 環電
591,2351 順德
592,2352 佳世達
593,2353 宏碁
594,2354 鴻準
595,2355 敬鵬
596,2356 英業達
597,2357 華碩
598,2358 廷鑫
599,2359 所羅門
600,2360 致茂
601,2361 鴻友
602,2362 藍天
603,2363 矽統
604,2364 倫飛
605,2365 昆盈
606,2367 燿華
607,2368 金像電
608,2369 菱生
609,2371 大同
610,2373 震旦行
611,2374 佳能
612,2375 智寶
613,2376 技嘉
614,2377 微星
615,2379 瑞昱
616,2380 虹光
617,2381 華宇
618,2382 廣達
619,2383 台光電
620,2384 勝華
621,2385 群光
622,2387 精元
623,2388 威盛
624,2390 云辰
625,2391 合勤
626,2392 正崴
627,2393 億光
628,2395 研華
629,2396 精碟
630,2397 友通
631,2399 映泰
632,2401 凌陽
633,2402 毅嘉
634,2403 友尚
635,2404 漢唐
636,2405 浩鑫
637,2406 國碩
638,2408 南亞科
639,2409 友達
640,2410 鼎大
641,2411 飛瑞
642,2412 中華電
643,2413 環科
644,2414 精技
645,2415 錩新
646,2417 圓剛
647,2418 雅新
648,2419 仲琦
649,2420 新巨
650,2421 建準
651,2423 固緯
652,2424 隴華
653,2425 承啟
654,2426 鼎元
655,2427 三商電
656,2428 興勤
657,2429 銘旺科
658,2430 燦坤
659,2431 聯昌
660,2432 倚天
661,2433 互盛電
662,2434 統懋
663,2436 偉詮電
664,2437 旺詮
665,2438 翔耀
666,2439 美律
667,2440 太空梭
668,2441 超豐
669,2442 新美齊
670,2443 新利虹
671,2444 兆勁
672,2446 全懋
673,2447 鼎新
674,2448 晶電
675,2449 京元電子
676,2450 神腦
677,2451 創見
678,2452 乾坤
679,2453 凌群
680,2454 聯發科
681,2455 全新
682,2456 奇力新
683,2457 飛宏
684,2458 義隆
685,2459 敦吉
686,2460 建通
687,2461 光群雷
688,2462 良得電
689,2463 研揚
690,2464 盟立
691,2465 麗臺
692,2466 冠西電
693,2467 志聖
694,2468 華經
695,2469 力信
696,2471 資通
697,2472 立隆電
698,2473 思源
699,2474 可成
700,2475 華映
701,2476 鉅祥
702,2477 美隆電
703,2478 大毅
704,2479 和立
705,2480 敦陽科
706,2481 強茂
707,2482 連宇
708,2483 百容
709,2484 希華
710,2485 兆赫
711,2486 一詮
712,2488 漢平
713,2489 瑞軒
714,2491 吉祥全
715,2492 華新科
716,2493 揚博
717,2494 廣業科
718,2495 普安
719,2496 卓越
720,2497 怡利電
721,2498 宏達電
722,2499 東貝
723,2501 國建
724,2504 國產
725,2505 國揚
726,2506 太設
727,2509 全坤建
728,2511 太子
729,2514 龍邦
730,2515 中工
731,2516 新建
732,2520 冠德
733,2524 京城
734,2526 大陸
735,2527 宏璟
736,2528 皇普
737,2530 華建
738,2534 宏盛
739,2535 達欣工
740,2536 宏普
741,2537 聯上發
742,2538 基泰
743,2539 櫻花建
744,2540 愛山林
745,2542 興富發
746,2543 皇昌
747,2545 皇翔
748,2546 根基
749,2547 日勝生
750,2548 華固
751,2596 綠意
752,2597 潤弘
753,2601 益航
754,2603 長榮
755,2605 新興
756,2606 裕民
757,2607 榮運
758,2608 嘉里大榮
759,2609 陽明
760,2610 華航
761,2611 志信
762,2612 中航
763,2613 中櫃
764,2614 東森
765,2615 萬海
766,2616 山隆
767,2617 台航
768,2618 長榮航
769,2628 正利
770,2630 亞航
771,2633 台灣高鐵
772,2634 漢翔
773,2636 台驊
774,2636 台驊投控
775,2637 慧洋-KY
776,2640 大車隊
777,2641 正德
778,2642 宅配通
779,2643 捷迅
780,2701 萬企
781,2702 華園
782,2704 國賓
783,2705 六福
784,2706 第一店
785,2707 晶華
786,2712 遠雄來
787,2718 晶悅
788,2718 桃園店
789,2719 燦星旅
790,2722 夏都
791,2723 美食-KY
792,2724 F-富驛
793,2724 富驛-KY
794,2726 F-雅茗
795,2726 雅茗-KY
796,2727 王品
797,2729 瓦城
798,2731 雄獅
799,2732 六角
800,2734 易飛網
801,2736 高野
802,2739 寒舍
803,2740 天蔥
804,2745 五福
805,2748 雲品
806,2801 彰銀
807,2809 京城銀
808,2812 台中銀
809,2816 旺旺保
810,2820 華票
811,2823 中壽
812,2827 中聯
813,2832 台產
814,2833 台壽保
815,2833A 台壽甲
816,2834 臺企銀
817,2836 高雄銀
818,2837 萬泰銀
819,2838 聯邦銀
820,2838A 聯邦銀甲特
821,2841 台開
822,2845 遠東銀
823,2847 大眾銀
824,2849 安泰銀
825,2850 新產
826,2851 中再保
827,2852 第一保
828,2854 寶來證
829,2855 統一證
830,2856 元富證
831,2867 三商壽
832,2880 華南金
833,2881 富邦金
834,2881A 富邦特
835,2881B 富邦金乙特
836,2882 國泰金
837,2882A 國泰特
838,2882B 國泰金乙特
839,2883 開發金
840,2883A 開發特
841,2884 玉山金
842,2885 元大金
843,2886 兆豐金
844,2887 台新金
845,2887C 新丙特
846,2887E 台新戊特
847,2887F 台新戊特二
848,2888 新光金
849,2889 國票金
850,2890 永豐金
851,2891 中信金
852,2891A 中信特
853,2891B 中信金乙特
854,2891C 中信金丙特
855,2892 第一金
856,2897 王道銀行
857,2897A 王道銀甲特
858,2901 欣欣
859,2903 遠百
860,2904 匯僑
861,2905 三商
862,2906 高林
863,2908 特力
864,2910 統領
865,2911 麗嬰房
866,2912 統一超
867,2913 農林
868,2915 潤泰全
869,2916 滿心
870,2921 和樂
871,2923 鼎固-KY
872,2924 F-東凌
873,2924 KY東凌
874,2924 東凌-KY
875,2926 誠品生
876,2926 誠品生活
877,2928 F-紅馬
878,2928 紅馬-KY
879,2929 淘帝-KY
880,2936 客思達-KY
881,2937 集雅社
882,2939 凱羿-KY
883,3002 歐格
884,3003 健和興
885,3004 豐達科
886,3005 神基
887,3006 晶豪科
888,3008 大立光
889,3009 奇美電
890,3010 華立
891,3011 今皓
892,3013 晟銘電
893,3014 聯陽
894,3015 全漢
895,3016 嘉晶
896,3017 奇鋐
897,3018 同開
898,3019 亞光
899,3020 奇普仕
900,3021 鴻名
901,3022 威強電
902,3023 信邦
903,3024 憶聲
904,3025 星通
905,3026 禾伸堂
906,3027 盛達
907,3028 增你強
908,3029 零壹
909,3030 德律
910,3031 佰鴻
911,3032 偉訓
912,3033 威健
913,3034 聯詠
914,3035 智原
915,3036 文曄
916,3037 欣興
917,3038 全台
918,3040 遠見
919,3041 揚智
920,3042 晶技
921,3043 科風
922,3044 健鼎
923,3045 台灣大
924,3046 建碁
925,3047 訊舟
926,3048 益登
927,3049 和鑫
928,3050 鈺德
929,3051 力特
930,3052 夆典
931,3053 鼎營
932,3054 立萬利
933,3055 蔚華科
934,3056 總太
935,3057 喬鼎
936,3058 立德
937,3059 華晶科
938,3060 銘異
939,3061 璨圓
940,3062 建漢
941,3063 飛信
942,3064 泰偉
943,3066 李洲
944,3067 全域
945,3068 美磊
946,3069 寶晟科
947,3071 協禧
948,3073 凱柏實業
949,3073 普格
950,3078 僑威
951,3079 宏億
952,3080 威力盟
953,3081 聯亞
954,3083 網龍
955,3085 久大
956,3085 新零售
957,3086 華義
958,3087 翔準
959,3088 艾訊
960,3089 元炬
961,3089 展成
962,3089 遠昇
963,3090 日電貿
964,3092 鴻碩
965,3093 港建
