,0
14217,705708 群益S5
14218,705709 群益S6
14219,70570P 工銀XR
14220,70570P 精材永豐75售04
14221,70571 元大PG
14222,70571 兆豐R6
14223,705710 群益S7
14224,705711 群益S8
14225,705712 群益S9
14226,705713 群益T1
14227,705714 群益T2
14228,705715 大華XV
14229,705716 元大PJ
14230,705717 日盛WG
14231,705718 凱基UL
14232,705719 群益T3
14233,70571P VU永豐
14234,70571P 環球晶國泰75售03
14235,70572 元大PH
14236,70572 康和Q1
14237,705720 元大PK
14238,705721 元大PL
14239,705722 X4永豐
14240,705723 X5永豐
14241,705724 X6永豐
14242,705725 X7永豐
14243,705726 X8永豐
14244,705727 X9永豐
14245,705728 第一WE
14246,705729 凱基UM
14247,70572P 合晶兆豐76售01
14248,70572P 國泰YG
14249,70573 富邦Q1
14250,705730 富邦R1
14251,705731 群益T4
14252,705732 臺銀P2
14253,705733 大眾SH
14254,705734 大華XW
14255,705735 元大PM
14256,705736 Y1永豐
14257,705737 國泰UC
14258,705738 凱基UN
14259,705739 凱基UP
14260,70573P 元大PJ
14261,70573P 凱基YK
14262,70573P 穩懋兆豐76售02
14263,70574 元大PK
14264,70574 富邦Q2
14265,705740 富邦R2
14266,705741 群益T5
14267,705742 元大PN
14268,705743 元大PP
14269,705744 元大PQ
14270,705745 元大PR
14271,705746 元富TW
14272,705747 元富TX
14273,705748 國泰UD
14274,705749 國泰UG
14275,70574P 中信S8
14276,70574P 昂寶康和75售01
14277,70575 統一S4
14278,705750 國票W5
14279,705751 康和TT
14280,705752 康和TU
14281,705753 群益T8
14282,705754 群益T9
14283,705755 大眾SJ
14284,705756 大眾SK
14285,705757 大華XX
14286,705758 元大PS
14287,705759 元富TY
14288,70575P 元大PL
14289,70575P 兆豐TL
14290,70575P 精測國泰76售02
14291,70576 統一S5
14292,70576 群益VQ
14293,705760 元富TZ
14294,705761 日盛WH
14295,705762 國泰UH
14296,705763 凱基UQ
14297,705764 凱基UR
14298,705765 富邦R3
14299,705766 群益U2
14300,705767 群益U3
14301,705768 元大PU
14302,705769 元大PV
14303,70576P 日盛QV
14304,70576P 精材元富76售02
14305,70577 工銀T5
14306,70577 群益VR
14307,705770 元大PW
14308,705771 元大PX
14309,705772 日盛WJ
14310,705773 Y2永豐
14311,705774 群益U5
14312,705775 群益U6
14313,705776 富邦R4
14314,705777 元大PY
14315,705778 元大PZ
14316,705779 Y3永豐
14317,70577P 凡甲康和76售01
14318,70577P 國泰YK
14319,70578 工銀T6
14320,70578 群益VS
14321,705780 Y4永豐
14322,705781 Y5永豐
14323,705782 康和TV
14324,705783 富邦R5
14325,705784 Y6永豐
14326,705785 富邦R6
14327,705786 元大QA
14328,705787 Y8永豐
14329,705788 國泰UK
14330,705789 永昌TR
14331,70578P 富邦QS
14332,70578P 碩禾康和76售01
14333,70579 工銀T7
14334,70579 群益VT
14335,705790 元大QB
14336,705791 日盛WK
14337,705792 第一WF
14338,705793 第一WG
14339,705794 統一QB
14340,705795 凱基US
14341,705796 凱基UT
14342,705797 富邦R7
14343,705798 群益U9
14344,705799 群益V1
14345,70579P 中信S9
14346,70579P 昂寶凱基76售02
14347,70580 群益VU
14348,705800 元大QC
14349,705801 兆豐QA
14350,705802 國泰UM
14351,705803 富邦R8
14352,705804 元大QD
14353,705805 元大QE
14354,705806 元大QF
14355,705807 第一WH
14356,705808 大眾SL
14357,705809 日盛WL
14358,70580P 元富XC
14359,70580P 環球晶元大76售01
14360,70581 統一S6
14361,705810 群益V3
14362,705811 群益V4
14363,705812 大眾SM
14364,705813 日盛WM
14365,705814 兆豐QB
14366,705815 統一QC
14367,705816 元富UB
14368,705817 元富UC
14369,705818 日盛WN
14370,705819 國泰UP
14371,70581P 日盛RG
14372,70581P 穩懋統一76售01
14373,70582 大華VY
14374,70582 統一S7
14375,705820 國票W6
14376,705821 第一WJ
14377,705822 第一WK
14378,705823 Y9永豐
14379,705824 Z1永豐
14380,705825 兆豐QC
14381,705826 國泰UQ
14382,705827 國票W8
14383,705828 凱基UU
14384,705829 大華XY
14385,70582P 群益TT
14386,70582P 群聯永豐76售02
14387,70583 大華VZ
14388,70583 康和Q2
14389,705830 元大QG
14390,705831 元大QH
14391,705832 元富UD
14392,705833 元富UE
14393,705834 Z3永豐
14394,705835 兆豐QD
14395,705836 亞東W7
14396,705837 統一QD
14397,705838 凱基UV
14398,705839 富邦S1
14399,70583P 中信T3
14400,70583P 大江康和76售01
14401,70584 大華WA
14402,70584 康和Q3
14403,705840 群益V6
14404,705841 大華XZ
14405,705842 元富UF
14406,705843 日盛WP
14407,705844 富邦S2
14408,705845 大華YA
14409,705846 元大QJ
14410,705847 元大QK
14411,705848 工銀WM
14412,705849 Z5永豐
14413,70584P PC元大
14414,70584P 立端康和76售02
14415,70585 中信PA
14416,70585 大華WB
14417,705850 Z6永豐
14418,705851 Z7永豐
14419,705852 亞東W8
14420,705853 康和TW
14421,705854 康和TX
14422,705855 統一QE
14423,705856 統一QG
14424,705857 統一QH
14425,705858 統一QJ
14426,705859 群益V8
14427,70585P 群益TX
14428,70585P 頎邦康和76售01
14429,70586 大展P4
14430,70586 大華WC
14431,705860 群益V9
14432,705861 元大QL
14433,705862 元大QM
14434,705863 元富UG
14435,705864 日盛WQ
14436,705865 PA永豐
14437,705866 PC永豐
14438,705867 Z9永豐
14439,705868 兆豐QE
14440,705869 國泰US
14441,70586P 群益TY
14442,70586P 群聯元大76售01
14443,70587 兆豐TT
14444,70587 台証T6
14445,705870 國泰UT
14446,705871 國泰UU
14447,705872 群益W1
14448,705873 大眾SN
14449,705874 元大QN
14450,705875 元富UH
14451,705876 工銀WN
14452,705877 工銀WP
14453,705878 PD永豐
14454,705879 兆豐QF
14455,70587P 日盛RK
14456,70587P 精材元大76售01
14457,70588 台証T7
14458,70588 永昌PM
14459,705880 富邦S3
14460,705881 富邦S4
14461,705882 群益W3
14462,705883 大眾SP
14463,705884 大眾SQ
14464,705885 大華YB
14465,705886 大華YC
14466,705887 元大QP
14467,705888 元大QQ
14468,705889 元大QR
14469,70588P PJ元大
14470,70588P 雙鴻元大76售03
14471,70589 元大PQ
14472,70589 統一SK
14473,705890 日盛WS
14474,705891 日盛WT
14475,705892 日盛WU
14476,705893 PE永豐
14477,705894 PF永豐
14478,705895 PG永豐
14479,705896 PH永豐
14480,705897 統一QL
14481,705898 凱基UW
14482,705899 凱基UX
14483,70589P 昂寶元大76售03
14484,70589P 群益TZ
14485,70590 統一SL
14486,705900 凱基UY
14487,705901 凱基UZ
14488,705902 富邦S5
14489,705903 富邦S7
14490,705904 群益W4
14491,705905 群益W5
14492,705906 大眾SR
14493,705907 元富UJ
14494,705908 工銀WQ
14495,705909 兆豐QG
14496,70590P 日盛RN
14497,70590P 環球晶統一77售03
14498,70591 元大PR
14499,70591 凱基QU
14500,705910 亞東W9
14501,705911 康和TY
14502,705912 凱基VA
14503,705913 群益W7
14504,705914 群益W8
14505,705915 群益W9
14506,705916 群益PA
14507,705917 大眾SS
14508,705918 大眾ST
14509,705919 元大QS
14510,70591P 中美晶國票76售01
14511,70591P 日盛RP
14512,70592 元大PS
14513,70592 永豐WZ
14514,705920 兆豐QH
14515,705921 國泰UV
14516,705922 國票W9
14517,705923 康和TZ
14518,705924 康和UA
14519,705925 統一QM
14520,705926 凱基VB
14521,705927 富邦S8
14522,705928 群益PD
14523,705929 群益PE
14524,70592P 國泰YN
14525,70592P 穩懋凱基76售01
14526,70593 元大PT
14527,70593 永豐P1
14528,705930 元富UK
14529,705931 PJ永豐
14530,705932 兆豐QJ
14531,705933 第一WL
14532,705934 富邦S9
14533,705935 富邦T1
14534,705936 元大QU
14535,705937 元大QV
14536,705938 元大QW
14537,705939 元大QX
14538,70593P 康和VH
14539,70593P 群聯國泰77售01
14540,70594 大華U2
14541,70594 永豐P2
14542,705940 日盛WW
14543,705941 日盛WX
14544,705942 工銀WR
14545,705943 PK永豐
14546,705944 PL永豐
14547,705945 PM永豐
14548,705946 PN永豐
14549,705947 凱基VC
14550,705948 群益PF
14551,705949 群益PG
14552,70594P PN元大
14553,70594P 穩懋國票76售01
14554,70595 大華U3
14555,70595 永豐P3
14556,705950 亞東X1
14557,705951 國泰UW
14558,705952 康和UB
14559,705953 群益PJ
14560,705954 大眾SU
14561,705955 元大QZ
14562,705956 元大RA
14563,705957 日盛WY
14564,705958 兆豐QK
14565,705959 第一WM
14566,70595P PS元大
14567,70595P 精測元大76售02
14568,70596 大華U4
14569,705960 第一WN
14570,705961 統一QN
14571,705962 凱基VD
14572,705963 富邦T3
14573,705964 富邦T4
14574,705965 群益PK
14575,705966 大華YD
14576,705967 元富UL
14577,705968 元富UM
14578,705969 元富UN
14579,70596P 國泰SV
14580,70596P 國泰YV
14581,70596P 精華元大76售03
14582,70597 大華U5
14583,70597 群益VV
14584,705970 兆豐QL
14585,705971 兆豐QM
14586,705972 第一WP
14587,705973 第一WQ
14588,705974 統一QP
14589,705975 凱基VE
14590,705976 PP永豐
14591,705977 PQ永豐
14592,705978 兆豐QP
14593,705979 兆豐QQ
14594,70597P 凱基ZC
14595,70597P 穩懋富邦78售01
14596,70598 凱基QV
14597,70598 大華U6
14598,705980 兆豐QR
14599,705981 第一WR
14600,705982 第一WS
14601,705983 第一WT
14602,705984 凱基VF
14603,705985 群益PN
14604,705986 大眾SV
14605,705987 元大RD
14606,705988 日盛WZ
14607,705989 PR永豐
14608,70598P 碩禾元大77售02
14609,70598P 群益UN
14610,70599 元富S3
14611,70599 凱基QW
14612,705990 PS永豐
14613,705991 富邦T6
14614,705992 富邦T7
14615,705993 富邦T8
14616,705994 群益PP
14617,705995 大華YE
14618,705996 中信Q1
14619,705997 凱基VG
14620,705998 凱基VH
14621,705999 富邦T9
14622,70599P QW元大
14623,70599P 群聯兆豐76售02
14624,70600 第一Q6
14625,706000 群益PQ
14626,706001 元富UP
14627,706002 日盛P1
14628,706003 日盛P2
14629,706004 國泰UX
14630,706005 國泰VB
14631,706006 群益PS
14632,706007 大華YF
14633,706008 元大RF
14634,706009 元大RG
14635,70600P 元富XT
14636,70600P 合晶元富76售01
14637,70601 元富S4
14638,70601 第一Q7
14639,706010 元大RH
14640,706011 元大RJ
14641,706012 元大RK
14642,706013 元大RL
14643,706014 元大RM
14644,706015 元富UQ
14645,706016 元富UR
14646,706017 工銀WS
14647,706018 PT永豐
14648,706019 兆豐QT
14649,70601P 精測國泰76售03
14650,70601P 群益UU
14651,70602 元富S5
14652,70602 第一Q8
14653,706020 兆豐QU
14654,706021 國泰VC
14655,706022 統一QQ
14656,706023 凱基VK
14657,706024 永昌TS
14658,706025 群益PT
14659,706026 群益PU
14660,706027 群益PV
14661,706028 大華YG
14662,706029 大華YH
14663,70602P 群益UV
14664,70602P 聯亞群益76售02
14665,70603 元富S6
14666,70603 第一Q9
14667,706030 大華YJ
14668,706031 日盛P4
14669,706032 工銀WT
14670,706033 統一QS
14671,706034 統一QT
14672,706035 凱基VL
14673,706036 凱基VM
14674,706037 凱基VN
14675,706038 元富US
14676,706039 第一WU
14677,70603P 元富XX
14678,70603P 新普富邦76售01
14679,70604 台証T8
14680,70604 第一R1
14681,706040 第一WV
14682,706041 凱基VP
14683,706042 凱基VQ
14684,706043 PU永豐
14685,706044 PV永豐
14686,706045 元大RN
14687,706046 統一QU
14688,706047 元富UT
14689,706048 兆豐QV
14690,706049 PW永豐
14691,70604P 元富YA
14692,70604P 先進光康和76售01
14693,70605 台証T9
14694,70605 第一R2
14695,706050 兆豐QW
14696,706051 國泰VF
14697,706052 國泰VG
14698,706053 富邦U1
14699,706054 富邦U2
14700,706055 富邦U3
14701,706056 元大RP
14702,706057 國泰VJ
14703,706058 國泰VK
14704,706059 群益PZ
14705,70605P 原相元大76售03
14706,70605P 群益UY
14707,70606 信證S1
14708,70606 富邦PN
14709,706060 群益QA
14710,706061 中信Q2
14711,706062 中信Q3
14712,706063 元富UU
14713,706064 工銀WU
14714,706065 元大RR
14715,706066 元大RS
14716,706067 日盛P5
14717,706068 日盛P6
14718,706069 PX永豐
14719,70606P RL元大
14720,70606P 欣銓凱基76售01
14721,70607 大展P5
14722,70607 富邦PP
14723,706070 PY永豐
14724,706071 PZ永豐
14725,706072 凱基VR
14726,706073 富邦U4
14727,706074 群益QC
14728,706075 大華YK
14729,706076 日盛P7
14730,706077 日盛P8
14731,706078 日盛P9
14732,706079 QA永豐
14733,70607P 合晶群益77售01
14734,70607P 日盛ST
14735,70608 中信PB
14736,70608 富邦PQ
14737,706080 QB永豐
14738,706081 兆豐QX
14739,706082 兆豐QY
14740,706083 凱基VS
14741,706084 凱基VT
14742,706085 凱基VU
14743,706086 富邦U5
14744,706087 大華YL
14745,706088 大華YM
14746,706089 大華YN
14747,70608P 環球晶群益76售02
14748,70608P 統一SU
14749,70609 大華U7
14750,70609 富邦PR
14751,706090 元大RT
14752,706091 日盛Q1
14753,706092 日盛Q2
14754,706093 QC永豐
14755,706094 國泰VM
14756,706095 國泰VN
14757,706096 凱基VW
14758,706097 日盛Q3
14759,706098 QE永豐
14760,706099 兆豐QZ
14761,70609P RP元大
14762,70609P 譜瑞群益76售01
14763,70610 富邦PS
14764,706100 兆豐RA
14765,706101 凱基VX
14766,706102 大眾SW
14767,706103 元大RW
14768,706104 元大RX
14769,706105 QF永豐
14770,706106 QG永豐
14771,706107 QH永豐
14772,706108 QI永豐
14773,706109 兆豐RB
14774,70610P XY永豐
14775,70610P 先進光元大76售01
14776,70611 大華U8
14777,70611 富邦PT
14778,706110 國票X1
14779,706111 國票X3
14780,706112 康和UD
14781,706113 凱基VY
14782,706114 群益QG
14783,706115 群益QH
14784,706116 日盛Q4
14785,706117 日盛Q5
14786,706118 工銀WV
14787,706119 QJ永豐
14788,70611P RV元大
14789,70611P 穩懋元大76售05
14790,70612 富邦PU
14791,70612 康和Q4
14792,706120 國票X5
14793,706121 凱基VZ
14794,706122 富邦U8
14795,706123 日盛Q6
14796,706124 QK永豐
14797,706125 QL永豐
14798,706126 QM永豐
14799,706127 QN永豐
14800,706128 QP永豐
14801,706129 大眾SX
14802,70612P XZ永豐
14803,70612P 精材凱基76售02
14804,70613 大華WD
14805,70613 統一S8
14806,706130 大華YP
14807,706131 元大RZ
14808,706132 元富UV
14809,706133 日盛Q7
14810,706134 QQ永豐
14811,706135 QR永豐
14812,706136 國泰VS
14813,706137 凱基WA
14814,706138 大華YQ
14815,706139 大華YR
14816,70613P 亞東Z4
14817,70613P 群聯富邦76售02
14818,70614 大華WE
14819,70614 統一S9
14820,706140 元大SA
14821,706141 日盛Q8
14822,706142 日盛Q9
14823,706143 QS永豐
14824,706144 兆豐RD
14825,706145 凱基WB
14826,706146 凱基WC
14827,706147 富邦U9
14828,706148 群益QK
14829,706149 大眾SY
14830,70614P 穩懋統一76售02
14831,70614P 統一SW
14832,70615 國泰SW
14833,70615 寶來R4
14834,706150 中信Q4
14835,706151 日盛R1
14836,706152 QT永豐
14837,706153 兆豐RE
14838,706154 國泰VU
14839,706155 統一QV
14840,706156 群益QL
14841,706157 大眾SZ
14842,706158 大眾TA
14843,706159 元大SB
14844,70615P YA永豐
14845,70615P 環球晶群益76售03
14846,70616 寶來R5
14847,706160 QU永豐
14848,706161 QV永豐
14849,706162 兆豐RF
14850,706163 國泰VV
14851,706164 國泰VW
14852,706165 凱基WD
14853,706166 富邦V1
14854,706167 大華YS
14855,706168 日盛R2
14856,706169 日盛R3
14857,70616P 國泰SX
14858,70616P 國泰ZE
14859,70616P 穩懋群益76售06
14860,70617 寶來R6
14861,70617 康和VN
14862,706170 QW永豐
14863,706171 QX永豐
14864,706172 兆豐RG
14865,706173 國泰VX
14866,706174 富邦V2
14867,706175 群益QN
14868,706176 大眾TB
14869,706177 大眾TC
14870,706178 元大SC
14871,706179 日盛R4
14872,70617P 元富YJ
14873,70617P 同致群益77售01
14874,70618 寶來R7
14875,70618 康和VP
14876,706180 RD永豐
14877,706181 RE永豐
14878,706182 國泰VY
14879,706183 國泰VZ
14880,706184 大眾TD
14881,706185 大華YT
14882,706186 元大SD
14883,706187 群益QP
14884,706188 元大SE
14885,706189 日盛R5
14886,70618P SE元大
14887,70618P 群聯群益76售03
14888,70619 寶來R8
14889,70619 康和VQ
14890,706190 RG永豐
14891,706191 元大SF
14892,706192 元富UX
14893,706193 日盛R6
14894,706194 日盛R7
14895,706195 兆豐RH
14896,706196 國泰WA
14897,706197 凱基WG
14898,706198 凱基WH
14899,706199 凱基WJ
14900,70619P 日盛TA
14901,70619P 穩懋元大76售07
14902,70620 元大PM
14903,706200 富邦V3
14904,706201 群益QQ
14905,706202 大眾TE
14906,706203 中信Q5
14907,706204 元大SG
14908,706205 元富UY
14909,706206 日盛R8
14910,706207 日盛R9
14911,706208 富邦V4
14912,706209 群益QR
14913,70620P YD永豐
14914,70620P 穩懋台新76售01
14915,70621 元大PN
14916,70621 兆豐R7
14917,706210 群益QS
14918,706211 群益QT
14919,706212 元大SH
14920,706213 日盛S1
14921,706214 RH永豐
14922,706215 RI永豐
14923,706216 RJ永豐
14924,706217 RK永豐
14925,706218 群益QV
14926,706219 大眾TF
14927,70621P YE永豐
14928,70621P 合晶兆豐76售02
14929,70622 元大PP
14930,70622 兆豐R8
14931,706220 大華YU
14932,706221 元大SJ
14933,706222 元大SK
14934,706223 元富UZ
14935,706224 元富VA
14936,706225 元富VB
14937,706226 日盛S2
14938,706227 日盛S3
14939,706228 RL永豐
14940,706229 永昌TT
14941,70622P SJ元大
14942,70622P 元太群益76售03
14943,70623 兆豐R9
14944,706230 群益QW
14945,706231 大華YV
14946,706232 大華YW
14947,706233 大華YX
14948,706234 元大SL
14949,706235 RM永豐
14950,706236 兆豐RK
14951,706237 兆豐RL
14952,706238 兆豐RM
14953,706239 國泰WB
14954,70623P SK元大
14955,70623P 元大PQ
14956,70623P 原相群益76售03
14957,70624 元大PR
14958,70624 兆豐S1
14959,706240 國泰WC
14960,706241 國泰WD
14961,706242 統一QW
14962,706243 凱基WK
14963,706244 凱基WL
14964,706245 凱基WM
14965,706246 富邦V5
14966,706247 富邦V6
14967,706248 群益QX
14968,706249 群益QY
14969,70624P 凱基P8
14970,70624P 穩懋凱基76售02
14971,70625 元大PS
14972,70625 兆豐S2
14973,706250 大華YY
14974,706251 大華YZ
14975,706252 元大SM
14976,706253 元大SN
14977,706254 元富VC
14978,706255 元富VD
14979,706256 日盛S4
14980,706257 日盛S5
14981,706258 日盛S6
14982,706259 日盛S7
14983,70625P SL元大
14984,70625P 穩懋元大76售08
14985,70626 兆豐S3
14986,70626 永昌PN
14987,706260 國泰WE
14988,706261 國泰WF
14989,706262 第一WX
14990,706263 統一QX
14991,706264 永昌TU
14992,706265 大眾TG
14993,706266 大眾TH
14994,706267 大華ZA
14995,706268 中信Q6
14996,706269 元大SP
14997,70626P 兆豐UJ
14998,70626P 金居元大7A售01
14999,70627 信證S2
15000,70627 永昌PP
15001,706270 元大SQ
15002,706271 元大SR
15003,706272 元大SS
15004,706273 元大ST
15005,706274 元大SU
15006,706275 元大SV
15007,706276 元富VE
15008,706277 元富VF
15009,706278 元富VG
15010,706279 日盛S8
15011,70627P SM元大
15012,70627P 穩懋元大76售09
15013,70628 國泰SY
15014,70628 康和Q5
15015,706280 日盛S9
15016,706281 日盛T1
15017,706282 工銀WW
15018,706283 工銀WX
15019,706284 工銀WY
15020,706285 RN永豐
15021,706286 RP永豐
15022,706287 RQ永豐
15023,706288 RR永豐
15024,706289 RS永豐
15025,70628P SQ元大
15026,70628P 頎邦群益76售01
15027,70629 台証U1
15028,706290 RT永豐
15029,706291 RU永豐
15030,706292 RV永豐
15031,706293 RW永豐
15032,706294 國泰WG
15033,706295 康和UF
15034,706296 第一WY
15035,706297 第一WZ
15036,706298 P1第一
15037,706299 統一QY
15038,70629P YK永豐
15039,70629P 國泰SZ
15040,70629P 精材永豐76售02
15041,70630 永豐P4
15042,706300 凱基WN
15043,706301 凱基WP
15044,706302 富邦V7
15045,706303 富邦V8
15046,706304 富邦V9
15047,706305 富邦W1
15048,706306 富邦W2
15049,706307 富邦W3
15050,706308 富邦W4
15051,706309 富邦W5
15052,70630P YL永豐
15053,70630P 精材國泰76售01
15054,70631 台証U2
15055,70631 永豐P5
15056,706310 群益QZ
15057,706311 群益RA
15058,706312 元大SW
15059,706313 日盛T2
15060,706314 日盛T3
15061,706315 日盛T4
15062,706316 RX永豐
15063,706317 國泰WH
15064,706318 國票Y1
15065,706319 富邦W6
15066,70631P 兆豐UP
15067,70631P 穩懋國泰77售01
15068,70632 日盛Q9
15069,70632 永豐P6
15070,706320 元大SX
15071,706321 日盛T5
15072,706322 RZ永豐
15073,706323 兆豐RN
15074,706324 國泰WJ
15075,706325 P2第一
15076,706326 凱基WQ
15077,706327 日盛T6
15078,706328 SA永豐
15079,706329 亞東X2
15080,70632P 穩懋統一77售01
15081,70632P 群益VW
15082,70633 日盛R1
15083,70633 永豐P7
15084,706330 國票Y2
15085,706331 國票Y3
15086,706332 富邦W7
15087,706333 群益RB
15088,706334 大華ZB
15089,706335 大華ZC
15090,706336 元大SY
15091,706337 元大SZ
15092,706338 元大TA
15093,706339 元大TB
15094,70633P ZC永豐
15095,70633P 台燿元富76售01
15096,70634 元大PU
15097,70634 永豐P8
15098,706340 元大TC
15099,706341 日盛T8
15100,706342 日盛T9
15101,706343 SB永豐
15102,706344 SC永豐
15103,706345 兆豐RP
15104,706346 兆豐RQ
15105,706347 國泰WM
15106,706348 P3第一
15107,706349 統一QZ
15108,70634P 兆豐UR
15109,70634P 精材元大77售02
15110,70635 元大PV
15111,70635 統一SM
15112,706350 凱基WR
15113,706351 群益RD
15114,706352 元富VJ
15115,706353 日盛U1
15116,706354 工銀WZ
15117,706355 國泰WN
15118,706356 國泰WP
15119,706357 P4第一
15120,706358 凱基WS
15121,706359 凱基WT
15122,70635P 國票PS
15123,70635P 穩懋元富76售01
15124,70636 元大PW
15125,70636 統一SN
15126,706360 富邦W8
15127,706361 群益RE
15128,706362 群益RF
15129,706363 群益RG
15130,706364 元大TF
15131,706365 元大TG
15132,706366 元大TH
15133,706367 元大TJ
15134,706368 元大TK
15135,706369 工銀XA
15136,70636P 元富YM
15137,70636P 威剛凱基76售05
15138,70637 元大PX
15139,70637 兆豐TU
15140,706370 工銀XB
15141,706371 工銀XC
15142,706372 SD永豐
15143,706373 國泰WQ
15144,706374 P5第一
15145,706375 凱基WU
15146,706376 凱基WV
15147,706377 凱基WW
15148,706378 群益RH
15149,706379 群益RJ
15150,70637P TB元大
15151,70637P 頎邦富邦76售02
15152,70638 兆豐TV
15153,70638 台証U3
15154,706380 群益RK
15155,706381 大華ZD
15156,706382 中信Q7
15157,706383 元大TL
15158,706384 元大TM
15159,706385 元大TN
15160,706386 元大TP
15161,706387 元大TQ
15162,706388 元大TR
15163,706389 元大TS
15164,70638P TC元大
15165,70638P 碩禾元大79售02
15166,70639 台証U4
15167,70639 國泰TA
15168,706390 元大TT
15169,706391 元大TU
15170,706392 元大TV
15171,706393 元富VK
15172,706394 元富VL
15173,706395 元富VM
15174,706396 元富VN
15175,706397 日盛U2
15176,706398 日盛U3
15177,706399 日盛U4
15178,70639P TD元大
15179,70639P 精材群益76售03
15180,70640 永豐P9
15181,706400 日盛U5
15182,706401 日盛U6
15183,706402 工銀XD
15184,706403 SE永豐
15185,706404 SF永豐
15186,706405 SG永豐
15187,706406 SH永豐
15188,706407 SI永豐
15189,706408 SJ永豐
15190,706409 SK永豐
15191,70640P 兆豐US
15192,70640P 群聯台新78售02
15193,70641 工銀RD
15194,70641 康和Q6
15195,706410 SL永豐
15196,706411 SM永豐
15197,706412 SN永豐
15198,706413 國泰WR
15199,706414 國泰WS
15200,706415 國票Y4
15201,706416 國票Y5
15202,706417 國票Y6
15203,706418 P6第一
15204,706419 統一RA
15205,70641P 大江凱基76售03
15206,70641P 群益WF
15207,70642 工銀RE
15208,70642 康和Q7
15209,706420 凱基WX
15210,706421 凱基WY
15211,706422 凱基WZ
15212,706423 凱基XA
15213,706424 凱基XB
15214,706425 凱基XC
15215,706426 凱基XD
15216,706427 群益RL
15217,706428 富邦PA
15218,706429 富邦PB
15219,70642P 元太富邦77售01
15220,70642P 群益WK
15221,70643 工銀RF
15222,70643 工銀T8
15223,706430 富邦PC
15224,706431 富邦PD
15225,706432 大華ZE
15226,706433 大華ZF
15227,706434 中信Q8
15228,706435 元大TX
15229,706436 元大TY
15230,706437 元大TZ
15231,706438 元大UA
15232,706439 元大UB
15233,70643P 亞東PB
15234,70643P 精華凱基76售01
15235,70644 元富S7
15236,70644 工銀RG
15237,706440 元大UC
15238,706441 日盛U7
15239,706442 日盛U8
15240,706443 日盛V1
15241,706444 SP永豐
15242,706445 SQ永豐
15243,706446 兆豐RR
15244,706447 P7第一
15245,706448 P8第一
15246,706449 P9第一
15247,70644P 群益WN
15248,70644P 金可元富76售02
15249,70645 元富S8
15250,70645 工銀RH
15251,706450 Q1第一
15252,706451 統一RB
15253,706452 凱基XE
15254,706453 凱基XF
15255,706454 富邦PF
15256,706455 群益RM
15257,706456 臺銀P3
15258,706457 大華ZG
15259,706458 元大UF
15260,706459 元大UG
15261,70645P TN元大
15262,70645P 精華元富76售02
15263,70646 元富S9
15264,70646 國泰TB
15265,706460 元大UH
15266,706461 元富VP
15267,706462 元富VQ
15268,706463 日盛V3
15269,706464 SR永豐
15270,706465 SS永豐
15271,706466 ST永豐
15272,706467 SU永豐
15273,706468 亞東X3
15274,706469 國泰WT
15275,70646P 群益WP
15276,70646P 譜瑞元富76售02
15277,70647 元富T1
15278,70647 永豐Q1
15279,706470 國票Y7
15280,706471 國票Y8
15281,706472 康和UG
15282,706473 Q2第一
15283,706474 凱基XG
15284,706475 群益RN
15285,706476 群益RP
15286,706477 群益RQ
15287,706478 群益RR
15288,706479 群益RS
15289,70647P 美琪瑪群益76售03
15290,70647P 群益WQ
15291,70648 康和VR
15292,70648 統一T1
15293,706480 中信Q9
15294,706481 元大UJ
15295,706482 元大UK
15296,706483 元大UL
15297,706484 工銀XE
15298,706485 SV永豐
15299,706486 SW永豐
15300,706487 兆豐RS
15301,706488 國泰WU
15302,706489 統一RC
15303,70648P TP元大
15304,70648P 威剛日盛76售02
15305,70649 兆豐S4
15306,70649 康和VS
15307,706490 富邦PG
15308,706491 富邦PH
15309,706492 群益RU
15310,706493 群益RV
15311,706494 大華ZH
15312,706495 元大UM
15313,706496 元富VR
15314,706497 SX永豐
15315,706498 SY永豐
15316,706499 兆豐RT
15317,70649P 日盛TQ
15318,70649P 美琪瑪凱基78售01
15319,70650 群益VW
15320,706500 國票Y9
15321,706501 康和UH
15322,706502 康和UI
15323,706503 統一RD
15324,706504 群益RW
15325,706505 群益RX
15326,706506 群益RY
15327,706507 大華ZJ
15328,706508 大華ZK
15329,706509 大華ZL
15330,70650P 國泰ZS
15331,70650P 群聯群益77售02
15332,70651 兆豐S5
15333,70651 群益VX
15334,706510 元富VS
15335,706511 日盛V5
15336,706512 SZ永豐
15337,706513 TA永豐
15338,706514 兆豐RU
15339,706515 國票Z1
15340,706516 康和UJ
15341,706517 群益RZ
15342,706518 大華ZM
15343,706519 元富VT
15344,70651P ZL永豐
15345,70651P 原相永豐76售02
15346,70652 中信PC
15347,70652 群益VY
15348,706520 國泰WW
15349,706521 統一RF
15350,706522 凱基XJ
15351,706523 大華ZN
15352,706524 大華ZP
15353,706525 工銀XF
15354,706526 兆豐RV
15355,706527 統一RG
15356,706528 富邦PJ
15357,706529 群益SA
15358,70652P ZM永豐
15359,70652P 元太康和76售02
15360,70653 中信PD
15361,70653 群益VZ
15362,706530 大眾TJ
15363,706531 元大UQ
15364,706532 元大UR
15365,706533 凱基XK
15366,706534 元富VU
15367,706535 元富VV
15368,706536 元富VW
15369,706537 國泰WX
