Date,Open,High,Low,Close,Adj Close,Volume
7/3/1997,9061.599609,9061.599609,8997.509766,9027.629883,9027.59668,0
7/4/1997,9144.959961,9218.209961,9119.25,9192.570313,9192.536133,0
7/7/1997,9365.19043,9370.410156,9304.820313,9322.839844,9322.805664,0
7/8/1997,9345.549805,9371.5,9282.099609,9305.269531,9305.235352,0
7/9/1997,9391.280273,9415.580078,9343.299805,9362.679688,9362.645508,0
7/10/1997,9470.929688,9511.799805,9420.709961,9429.740234,9429.706055,0
7/11/1997,9498.070313,9526.740234,9333.790039,9394.629883,9394.595703,0
7/14/1997,9626.339844,9626.339844,9561.080078,9593.540039,9593.503906,0
7/15/1997,9714.780273,9714.780273,9451.450195,9555.980469,9555.945313,0
7/16/1997,9634.790039,9648.429688,9482.450195,9544.55957,9544.524414,0
7/17/1997,9742.580078,9889.450195,9571.799805,9571.799805,9571.763672,0
7/18/1997,9669.740234,9677.400391,9555.980469,9677.400391,9677.364258,0
7/21/1997,9814.25,9896.730469,9750.700195,9833.769531,9833.732422,0
7/22/1997,9877.389648,9877.389648,9543.759766,9550.400391,9550.365234,0
7/23/1997,9694.280273,9694.280273,9345.900391,9381.05957,9381.025391,0
7/24/1997,9500.860352,9632.419922,9475.540039,9632.419922,9632.383789,0
7/25/1997,9719.05957,9819.769531,9710.269531,9808.910156,9808.873047,0
7/28/1997,9929.980469,9995.370117,9899.580078,9923.049805,9923.011719,0
7/29/1997,9980.110352,10057.9502,9892.339844,9892.339844,9892.302734,0
7/30/1997,9953.94043,10000.61035,9898.299805,9942.790039,9942.751953,0
7/31/1997,10111.83008,10113.57031,10050.92969,10066.34961,10066.31152,0
8/1/1997,9953.30957,10102.76953,9942.339844,10001.55957,10001.52148,0
8/4/1997,10167.30957,10167.30957,10059.08984,10065.75977,10065.72168,0
8/5/1997,10077.08008,10077.08008,9914.099609,9919.679688,9919.641602,0
8/6/1997,9991.320313,9991.320313,9833.44043,9861.469727,9861.432617,0
8/7/1997,9935.209961,9962.209961,9822.139648,9840.879883,9840.842773,0
8/8/1997,9921.910156,9934.540039,9851.790039,9923.839844,9923.801758,0
8/11/1997,10035.37988,10036.04004,9863.629883,9897.269531,9897.232422,0
8/12/1997,9895.990234,9932.339844,9759.360352,9807.740234,9807.703125,0
8/13/1997,9870.240234,9870.240234,9547.799805,9556.120117,9556.084961,0
8/14/1997,9659.69043,9659.69043,9501.629883,9632.339844,9632.303711,0
8/15/1997,9728.490234,9804.200195,9700.75,9770.799805,9770.762695,0
8/18/1997,null,null,null,null,null,null
8/19/1997,9788.240234,9806.290039,9703.900391,9712.450195,9712.413086,0
8/20/1997,9831.55957,9856.589844,9797.25,9855.160156,9855.123047,0
8/21/1997,9983.339844,10054.54981,9983.339844,10025.12988,10025.0918,0
8/22/1997,9992.280273,10056.16016,9979.730469,10020.54981,10020.51172,0
8/25/1997,10026.50977,10057.07031,9994.75,10011.46973,10011.43164,0
8/26/1997,10134.29981,10166.91992,10082.00977,10116.83984,10116.80176,0
8/27/1997,10191.80957,10256.09961,10040.48047,10050.66992,10050.63184,0
8/28/1997,10067.48047,10067.48047,9796.879883,9827.490234,9827.453125,0
8/29/1997,null,null,null,null,null,null
9/1/1997,9861.75,9861.75,9499.519531,9504.990234,9504.955078,0
9/2/1997,9564.44043,9564.44043,9185.490234,9211.669922,9211.635742,0
9/3/1997,9460.75,9502.730469,9375.769531,9460.759766,9460.724609,0
9/4/1997,9421.339844,9466.610352,9117.870117,9147.849609,9147.81543,0
9/5/1997,9278.30957,9304.099609,9141.429688,9290.389648,9290.355469,0
9/8/1997,9357.030273,9357.030273,9133.429688,9149.290039,9149.255859,0
9/9/1997,9154.05957,9174.429688,9002.769531,9079.360352,9079.326172,0
9/10/1997,9242.980469,9269.870117,9134.429688,9145.179688,9145.145508,0
9/11/1997,9038.900391,9134.450195,9027.879883,9115.099609,9115.06543,0
9/12/1997,9157.230469,9191.719727,9142.530273,9155.240234,9155.206055,0
9/15/1997,8996.709961,9020.730469,8898.129883,8932.019531,8931.986328,0
9/16/1997,null,null,null,null,null,null
9/17/1997,9070.230469,9123.169922,9020.370117,9087.549805,9087.515625,0
9/18/1997,9075.320313,9141.330078,9055.370117,9141.330078,9141.295898,0
9/19/1997,9189.589844,9292.120117,9187.209961,9243.709961,9243.675781,0
9/22/1997,9257.089844,9288.950195,9216.580078,9220.990234,9220.956055,0
9/23/1997,9230.089844,9230.089844,9053.769531,9073.769531,9073.735352,0
9/24/1997,9032,9083.950195,8978.730469,8994.019531,8993.986328,0
9/25/1997,9168.110352,9168.110352,8785.959961,8791.80957,8791.777344,0
9/26/1997,8750.780273,8829.099609,8599.820313,8719,8718.967773,0
9/29/1997,null,null,null,null,null,null
9/30/1997,8806.839844,8812.009766,8658.05957,8708.830078,8708.797852,0
10/1/1997,8737.080078,8737.080078,8625.839844,8695.019531,8694.987305,0
10/2/1997,8698.669922,8733.610352,8502.299805,8504.660156,8504.62793,0
10/3/1997,8393.879883,8537.179688,8393.879883,8537.179688,8537.147461,0
10/6/1997,8405.299805,8498.740234,8384.349609,8392.589844,8392.557617,0
10/7/1997,8285.280273,8368.290039,8177.540039,8221.349609,8221.317383,0
10/8/1997,8285.889648,8325.610352,8204.910156,8255.820313,8255.788086,0
10/9/1997,8373.200195,8461.870117,8364.759766,8461.870117,8461.837891,0
10/10/1997,null,null,null,null,null,null
10/13/1997,8503.799805,8512.570313,8444.179688,8463.160156,8463.12793,0
10/14/1997,8480.769531,8489.379883,8391.299805,8429.349609,8429.317383,0
10/15/1997,8381.299805,8392.540039,8256.320313,8262.400391,8262.368164,0
10/16/1997,8177.390137,8203.129883,7967.410156,7997.810059,7997.779297,0
10/17/1997,8084.189941,8084.189941,7654.879883,7832.149902,7832.120605,0
10/20/1997,7579.859863,7579.859863,7274.970215,7316.779785,7316.751953,0
10/21/1997,7468.830078,7734.049805,7468.830078,7734.049805,7734.020996,0
10/22/1997,7752.319824,7835.549805,7529.359863,7692.470215,7692.441406,0
10/23/1997,7739.549805,7901.810059,7669.759766,7825.009766,7824.980469,0
10/24/1997,7536.029785,7741.810059,7536.029785,7719.040039,7719.01123,0
10/27/1997,7719.859863,7788.419922,7655.990234,7662.529785,7662.500977,0
10/28/1997,7280.640137,7339.600098,7186.700195,7210.009766,7209.982422,0
10/29/1997,7391.310059,7391.310059,7089.560059,7089.560059,7089.533691,0
10/30/1997,7136.240234,7315.819824,7040.540039,7313.399902,7313.37207,0
10/31/1997,null,null,null,null,null,null
11/3/1997,7419.339844,7651.629883,7406.100098,7646.350098,7646.321289,0
11/4/1997,7835.600098,7940.200195,7764.029785,7785.319824,7785.291016,0
11/5/1997,7733.220215,7864.220215,7733.220215,7864.220215,7864.19043,0
11/6/1997,7987.080078,8090.140137,7983.919922,8076.77002,8076.739258,0
11/7/1997,8076.52002,8137.02002,7778.660156,7860.089844,7860.060059,0
11/10/1997,7724.870117,7810.990234,7644.52002,7767.140137,7767.111328,0
11/11/1997,7765.220215,7797.720215,7681.140137,7712.160156,7712.131348,0
11/12/1997,null,null,null,null,null,null
11/13/1997,7544.870117,7587.970215,7515.640137,7554.939941,7554.911133,0
11/14/1997,7673.140137,7681.310059,7481.390137,7482.919922,7482.89209,0
11/17/1997,7528.330078,7690.540039,7499.25,7690.540039,7690.51123,0
11/18/1997,7870.02002,7876.140137,7642.939941,7644.970215,7644.941406,0
11/19/1997,7606.490234,7705.399902,7606.490234,7705.399902,7705.371094,0
11/20/1997,7747.859863,7806.680176,7689.189941,7693.290039,7693.26123,0
11/21/1997,7762.22998,7773.350098,7732.720215,7773.350098,7773.321289,0
11/24/1997,7880.02002,7880.02002,7751.319824,7756.25,7756.221191,0
11/25/1997,7702.720215,7773.180176,7698.47998,7759.970215,7759.941406,0
11/26/1997,7819.790039,7819.790039,7694.720215,7698.240234,7698.211426,0
11/27/1997,7737.470215,7762.149902,7690.109863,7762.149902,7762.121094,0
11/28/1997,7833.470215,7876.910156,7794.779785,7797.189941,7797.161133,0
12/1/1997,7446.490234,7454.97998,7354.919922,7400.640137,7400.612305,0
12/2/1997,7455.509766,7679.529785,7455.509766,7679.529785,7679.500977,0
12/3/1997,7651.680176,7904.160156,7651.680176,7902.509766,7902.479492,0
12/4/1997,8003.870117,8060.279785,7919.399902,8050.129883,8050.099121,0
12/5/1997,8175.189941,8280.650391,8121.899902,8166.870117,8166.839355,0
12/8/1997,8265.360352,8402.169922,8265.360352,8402.169922,8402.137695,0
12/9/1997,8512.610352,8512.610352,8325.230469,8333.490234,8333.458008,0
12/10/1997,8368.160156,8532.25,8368.160156,8503.549805,8503.517578,0
12/11/1997,8438.379883,8451.929688,8250.919922,8270.580078,8270.547852,0
12/12/1997,8135.169922,8398.269531,8135.169922,8398.269531,8398.237305,0
12/15/1997,8420.910156,8420.910156,8241.490234,8241.490234,8241.458008,0
12/16/1997,8341.349609,8341.349609,8172.830078,8193.650391,8193.618164,0
12/17/1997,8297.69043,8347.200195,8241.69043,8347.200195,8347.167969,0
12/18/1997,8361.900391,8380.719727,8253.879883,8255.049805,8255.017578,0
12/19/1997,8205.830078,8305.830078,8091.169922,8092.580078,8092.549316,0
12/22/1997,8223.69043,8226.139648,8096.990234,8104.029785,8103.999023,0
12/23/1997,8192.700195,8192.700195,8032.529785,8038.310059,8038.279297,0
12/24/1997,7925.100098,8080.810059,7920.100098,8075.049805,8075.019043,0
12/25/1997,null,null,null,null,null,null
12/26/1997,8135.450195,8205.700195,8113.22998,8132.5,8132.469238,0
12/29/1997,8111.77002,8113.22998,8069.169922,8076.649902,8076.619141,0
12/30/1997,8167.339844,8167.339844,8116.149902,8145.77002,8145.739258,0
12/31/1997,8226.330078,8243.599609,8176.700195,8187.27002,8187.239258,0
